date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-01,TamilNadu,Onion Big,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-01,TamilNadu,Onion Small,34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-01,TamilNadu,Tomato,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-01,TamilNadu,Green Chilli,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-01,TamilNadu,Beetroot,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-01,TamilNadu,Potato,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-01,TamilNadu,Raw Banana,8,9 - 10,10 - 13,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-01,TamilNadu,Amaranth Leaves,11,13 - 14,13 - 18,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-01,TamilNadu,Amla,75,86 - 95,90 - 124,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-01,TamilNadu,Ash gourd,18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-01,TamilNadu,Baby Corn,49,56 - 62,59 - 81,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-01,TamilNadu,Banana Flower,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-01,TamilNadu,Capsicum,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-01,TamilNadu,Bitter Gourd,31,36 - 39,37 - 51,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-01,TamilNadu,Bottle Gourd,28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-01,TamilNadu,Butter Beans,47,54 - 60,56 - 78,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-01,TamilNadu,Broad Beans,29,33 - 37,35 - 48,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-01,TamilNadu,Cabbage,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-01,TamilNadu,Carrot,45,52 - 57,54 - 74,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-01,TamilNadu,Cauliflower,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
